"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-27","0.13",",,S","24","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-28","0.00",",,S","33","H,,S",,,"17",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-29","0.79",",,S","31","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-30","0.18",",,S","20","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-01-31","0.39",",,S","24","H,,S",,,"14",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-01","0.00",",,S","24","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-02",,,"31","H,,S",,,"15",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-03",,,"34","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-04",,,"35","H,,S",,,"27",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-05",,,"32","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-06","0.02",",,S","28","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-07","0.00",",,S","29","H,,S",,,"22",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-08",,,"28","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-09",,,"21","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-10",,,"20","H,,S",,,"15",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-11",,,"24","H,,S",,,"15",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-12",,,"29","H,,S",,,"19",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-13",,,"33","H,,S",,,"22",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-14",,,"32","H,,S",,,"25",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-15",,,"36","H,,S",,,"25",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-16",,,"44","H,,S",,,"29",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-17","0.16",",,S","28","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-18","0.00",",,S","29","H,,S",,,"19",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-19",,,"39","H,,S",,,"26",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-20","0.06",",,S","25","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-21","0.00",",,S","35","H,,S",,,"18",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-22",,,"33","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-23","0.20",",,S","28","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-24","0.00",",,S","32","H,,S",,,"22",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-25",,,"38","H,,S",,,"27",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-26",,,"38","H,,S",,,"29",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-27",,,"39","H,,S",,,"29",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-02-28",,,"44","H,,S",,,"30",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-01",,,"40","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-02","0.22",",,S","34","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-03","0.00",",,S","40","H,,S",,,"26",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-04",,,"43","H,,S",,,"32",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-05",,,"40","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-06","0.02",",,S","31","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-07","0.00",",,S","29","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-08",,,"33","H,,S",,,"22",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-09",,,"39","H,,S",,,"27",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-10",,,"41","H,,S",,,"30",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-11",,,"47","H,,S",,,"32",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-12",,,"46","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-13",,,"44","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-14",,,"42","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-15",,,"43","H,,S",,,"33",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-16",,,"43","H,,S",,,"34",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-17",,,"48","H,,S",,,"34",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-18",,,"48","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-19",,,"53","H,,S",,,"38",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-20",,,"50","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-21",,,"44","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-22",,,"47","H,,S",,,"35",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-23",,,"48","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-24",,,"49","H,,S",,,"39",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-25",,,"46","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-26",,,"45","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-27",,,"42","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-28","0.02",",,S","46","H,,S",,,"36",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-29","0.00",",,S","48","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-30",,,"53","H,,S",,,"39",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-03-31","0.01",",,S","46","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-01","0.05",",,S","47","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-02","0.04",",,S","49","H,,S",,,"38",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-03","0.00",",,S","54","H,,S",,,"40",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-04",,,"59","H,,S",,,"44",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-05","0.01",",,S","53","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-06","1.59",",,S","50","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-07","0.00",",,S","58","H,,S",,,"48",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-08",,,"56","H,,S",,,"47",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-09","0.04",",,S","59","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-10","0.00",",,S","63","H,,S",,,"50",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-11",,,"58","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-12",,,"51","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-13",,,"57","H,,S",,,"43",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-14",,,"55","H,,S",,,"50",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-15","0.24",",,S","63","H,,S",,,"52",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-16","0.00",",,S","67","H,,S",,,"55",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-17",,,"56","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-18","0.22",",,S","52","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-19","0.30",",,S","56","H,,S",,,"45",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-20","0.00",",,S","54","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-21","0.00",",,S","56","H,,S",,,"46",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-22",,,"59","H,,S",,,"47",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-23",,,"59","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-24",,,"61","H,,S",,,"47",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-25",,,"60","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-26",,,"58","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-27",,,"57","H,,S",,,"46",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-28",,,"58","H,,S",,,"48",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-29",,,"65","H,,S",,,"49",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-04-30",,,"66","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-01",,,"69","H,,S",,,"55",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-02",,,"69","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-03",,,"71","H,,S",,,"58",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-04",,,"71","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-05",,,"66","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-06",,,"59","H,,S",,,"50",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-07",,,"62","H,,S",,,"52",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-08",,,"66","H,,S",,,"52",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-09",,,"62","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-10","0.20",",,S","61","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-11","0.00",",,S","69","H,,S",,,"56",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-12",,,"65","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-13",,,"60","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-14","0.24",",,S","61","H,,S",,,"52",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-15","0.00",",,S","61","H,,S",,,"54",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-16",,,"62","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-17",,,"66","H,,S",,,"54",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-18",,,"69","H,,S",,,"57",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-19",,,"70","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-20",,,"70","H,,S",,,"60",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-21",,,"71","H,,S",,,"61",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-22",,,"72","H,,S",,,"61",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-23",,,"68","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-24","0.20",",,S","71","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-25","0.00",",,S","65","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-26",,,"64","H,,S",,,"54",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-27",,,"67","H,,S",,,"57",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-28",,,"72","H,,S",,,"58",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-29",,,"73","H,,S",,,"65",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-30",,,"74","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-05-31",,,"75","H,,S",,,"64",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-01",,,"72","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-02",,,"69","H,,S",,,"60",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-03",,,"69","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-04",,,"72","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-05",,,"77","H,,S",,,"62",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-06",,,"65","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-07","1.02",",,S","63","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-08","0.08",",,S","69","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-09","0.00",",,S","70","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-10","0.18",",,S","69","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-11","0.00",",,S","74","H,,S",,,"59",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-12",,,"72","H,,S",,,"63",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-13",,,"70","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-14",,,"71","H,,S",,,"64",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-15",,,"74","H,,S",,,"64",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-16",,,"78","H,,S",,,"68",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-17",,,"74","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-18",,,"76","H,,S",,,"65",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-19",,,"77","H,,S",,,"67",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-20",,,"80","H,,S",,,"68",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-21",,,"77","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-22",,,"78","H,,S",,,"70",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-23",,,"81","H,,S",,,"70",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-24",,,"75","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-25","0.14",",,S","75","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-26","0.72",",,S","74","H,,S",,,"68",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-27","0.47",",,S","78","H,,S",,,"69",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-28","0.00",",,S","79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-29",,,"79","H,,S",,,"71",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-06-30",,,"79","H,,S","88",",,S","72",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-01",,,"78","H,,S",,,"72",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-02","0.67",",,S","76","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-03","5.59",",,S","77","H,,S",,,"71",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-04","0.06",",,S","80","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-05","0.00",",,S","82","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-06",,,"82","H,,S",,,"75",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-07","1.36",",,S","80","H,,S",,,"76",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-08","0.77",",,S","79","H,,S",,,"76",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-09","0.37",",,S","79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-10","2.03",",,S","74","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-11","4.65",",,S","80","H,,S",,,"72",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-12","0.00",",,S","80","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-13",,,"83","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-14",,,"83","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-15","1.08",",,S","76","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-16","1.48",",,S","80","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-17","0.00",",,S","79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-18","0.39",",,S","80","H,,S",,,"75",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-19","0.00",",,S","84","H,,S",,,"76",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-20",,,"87","H,,S",,,"79",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-21",,,"86","H,,S",,,"81",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-22","0.02",",,S","84","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-23","1.54",",,S","80","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-24","3.74",",,S","79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-25","0.10",",,S","85","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-26","0.00",",,S","84","H,,S",,,"76",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-27",,,"80","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-28","0.39",",,S","78","H,,S",,,"77",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-29","0.08",",,S","81","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-30","0.00",",,S","83","H,,S",,,"76",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-07-31","0.02",",,S","78","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-01","0.20",",,S","85","H,,S",,,"75",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-02","0.00",",,S","86","H,,S",,,"80",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-03",,,"86","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-04",,,"87","H,,S",,,"79",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-05",,,"89","H,,S",,,"82",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-06",,,"85","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-07","0.20",",,S","84","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-08","0.00",",,S","82","H,,S",,,"78",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-09","0.00",",,S","81","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-10","0.27",",,S","77","H,,S",,,"75",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-11","0.06",",,S","80","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-12","0.00",",,S","83","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-13",,,"79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-14",,,"76","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-15","1.02",",,S","71","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-16","2.74",",,S","74","H,,S",,,"69",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-17","0.08",",,S","78","H,,S",,,"70",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-18","0.00",",,S","79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-19",,,"79","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-20","2.30",",,S","74","H,,S",,,"72",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-21","2.70",",,S","78","H,,S",,,,
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-22","0.10",",,S","82","H,,S",,,"74",",,S"
"KSM00047108","SEOUL CITY, KS","37.567","126.967","87.0","2017-08-23","0.53",",,S","82","H,,S",,,"76",",,S"
